Benchmark,Accuracy,Max Turns Hit,Invalid Plan,Time (s),Total Samples,Successful Samples,Error Samples,Success Rate
NVDLibraryBenchmark,0.5897,0.0000,0.0000,109.62,78,78,0,1.0000
VirusTotalBenchmark,0.6623,0.0000,0.0000,140.10,151,151,0,1.0000
ITType0Benchmark,0.7297,0.0000,0.0000,160.39,111,111,0,1.0000
ITType1Benchmark,0.5920,0.0000,0.0000,196.57,125,125,0,1.0000
TicketTracking,0.4945,0.0000,0.0000,115.73,91,91,0,1.0000
LangChainMath,0.4000,0.0000,0.0000,120.95,20,20,0,1.0000
LangChainRelational,0.8500,0.0000,0.0000,134.60,20,20,0,1.0000
MultiverseMathHard,0.0000,0.0000,0.0000,303.06,100,100,0,1.0000
LangChainMultitoolTypeWriterHard,0.0333,0.0333,0.0000,536.34,30,30,0,1.0000
LangChainTypeWriterHard,0.1667,0.1333,0.0000,610.05,30,30,0,1.0000
ClimateBenchmark,0.3553,0.0000,0.0000,997.28,197,197,0,1.0000
TMIHallucination,0.1803,0.0000,0.0000,128.33,61,61,0,1.0000
CVECPEBenchmark,0.4107,0.0000,0.0000,226.89,56,56,0,1.0000
VirusTotalAgentic,0.1481,0.0000,0.0556,212.50,54,54,0,1.0000
